Dt_Pedido,Dt_Emissao,Dt_Entrega,Mes_Base,Ano_Exec,CO_Fabrica,CO_Cliente,Incoterm,Veiculo,Qtd_pallets,Qtd_Transp,Moeda,Vlr_Frete
06/01/23,17/01/23,22/01/23,1,2023,3424402,2351,CIF,P12,12,1500,BRL,2235.025

30/12/22,10/01/23,13/01/23,1,2023,3424402,2351,FOB,P24,24,2400,BRL,0
29/12/22,10/01/23,15/01/23,1,2023,3424402,2351,FOB,P24,24,3000,BRL,0
09/01/23,15/01/23,19/01/23,1,2023,3424402,2351,FOB,P12,12,1800,BRL,0
07/01/23,15/01/23,20/01/23,1,2023,3424402,2351,FOB,P12,12,1800,BRL,0
09/01/23,15/01/23,19/01/23,1,2023,3424402,2351,FOB,P12,12,1800,BRL,0
03/01/23,15/01/23,16/01/23,1,2023,3424402,2351,FOB,P12,12,1500,BRL,0
18/01/23,27/01/23,30/01/23,1,2023,3424402,2351,FOB,P12,12,1500,BRL,0
16/01/23,27/01/23,01/02/23,1,2023,3424402,2351,FOB,P24,24,3000,BRL,0
19/01/23,27/01/23,30/01/23,1,2023,3424402,2351,FOB,P24,24,3000,BRL,0
14/01/23,27/01/23,30/01/23,1,2023,3424402,2351,FOB,P24,24,2400,BRL,0
15/01/23,27/01/23,30/01/23,1,2023,3424402,2351,FOB,P12,12,1500,BRL,0
03/01/23,10/01/23,12/01/23,1,2023,3403208,2339,FOB,P24,24,3000,BRL,0
08/01/23,15/01/23,17/01/23,1,2023,3403208,2339,FOB,P12,12,1800,BRL,0
01/01/23,15/01/23,18/01/23,1,2023,3403208,2339,FOB,P12,12,1500,BRL,0
06/01/23,15/01/23,19/01/23,1,2023,3403208,2339,FOB,P12,12,1500,BRL,0
06/01/23,15/01/23,19/01/23,1,2023,3403208,2339,FOB,P24,24,2400,BRL,0
13/01/23,27/01/23,01/02/23,1,2023,3403208,2339,FOB,P12,12,1800,BRL,0
12/01/23,27/01/23,31/01/23,1,2023,3403208,2339,FOB,P24,24,3600,BRL,0
26/12/22,10/01/23,13/01/23,1,2023,3424402,2349,FOB,P12,12,1500,BRL,0
27/12/22,10/01/23,13/01/23,1,2023,3424402,2349,FOB,P12,12,1500,BRL,0
27/12/22,10/01/23,13/01/23,1,2023,3424402,2349,FOB,P24,24,3000,BRL,0
06/01/23,10/01/23,15/01/23,1,2023,3424402,2349,FOB,P24,24,2400,BRL,0
04/01/23,10/01/23,14/01/23,1,2023,3424402,2349,FOB,P24,24,3600,BRL,0
08/01/23,15/01/23,20/01/23,1,2023,3424402,2349,FOB,P12,12,1500,BRL,0
02/01/23,15/01/23,20/01/23,1,2023,3424402,2349,FOB,P24,24,3600,BRL,0
25/12/22,03/01/23,07/01/23,1,2023,3424402,2347,CIF,P12,12,1500,BRL,2123.277

28/12/22,03/01/23,06/01/23,1,2023,3424402,2347,CIF,P12,12,1500,BRL,2123.277

